% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
7.615	1	1	762	6	1	28	2292	0
7.615	2	2	762	6	1	28	2292	0
7.715	1	1	772	6	1	28	2292	0
7.715	2	2	772	6	1	28	2292	0
7.815	1	1	782	6	1	28	2292	0
7.815	2	2	782	6	1	28	2292	0
7.915	1	1	792	6	1	28	2292	0
7.915	2	2	792	6	1	28	2292	0
8.015	1	1	802	6	1	28	2292	0
8.015	2	2	802	6	1	28	2292	0
8.115	1	1	812	6	1	28	2292	0
8.115	2	2	812	6	1	28	2292	0
8.215	1	1	822	6	1	28	2292	0
8.215	2	2	822	6	1	28	2292	0
8.315	1	1	832	6	1	28	2292	0
8.315	2	2	832	6	1	28	2292	0
8.415	1	1	842	6	1	28	2292	0
8.415	2	2	842	6	1	28	2292	0
8.515	1	1	852	6	1	28	2292	0
8.515	2	2	852	6	1	28	2292	0
8.615	1	1	862	6	1	28	2292	0
8.615	2	2	862	6	1	28	2292	0
8.715	1	1	872	6	1	28	2292	0
8.715	2	2	872	6	1	28	2292	0
8.815	1	1	882	6	1	28	2292	0
8.815	2	2	882	6	1	28	2292	0
8.915	1	1	892	6	1	28	2292	0
8.915	2	2	892	6	1	28	2292	0
9.015	1	1	902	6	1	28	2292	0
9.015	2	2	902	6	1	28	2292	0
9.115	1	1	912	6	1	28	2292	0
9.115	2	2	912	6	1	28	2292	0
9.215	1	1	922	6	1	28	2292	0
9.215	2	2	922	6	1	28	2292	0
9.315	1	1	932	6	1	28	2292	0
9.315	2	2	932	6	1	28	2292	0
9.415	1	1	942	6	1	28	2292	0
9.415	2	2	942	6	1	28	2292	0
9.515	1	1	952	6	1	28	2292	0
9.515	2	2	952	6	1	28	2292	0
9.615	1	1	962	6	1	28	2292	0
9.615	2	2	962	6	1	28	2292	0
9.715	1	1	972	6	1	28	2292	0
9.715	2	2	972	6	1	28	2292	0
9.815	1	1	982	6	1	28	2292	0
9.815	2	2	982	6	1	28	2292	0
9.915	1	1	992	6	1	28	2292	0
9.915	2	2	992	6	1	28	2292	0
