% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
7321	1	1	1	0	28	2292	0	1	0
7321	2	2	1	0	28	2292	0	1	0
7421	1	1	1	0	28	2292	0	1	0
7421	2	2	1	0	28	2292	0	1	0
7521	1	1	1	0	28	2292	0	1	0
7521	2	2	1	0	28	2292	0	1	0
7621	1	1	1	0	28	2292	0	1	0
7621	2	2	1	0	28	2292	0	1	0
7721	1	1	1	0	28	2292	0	1	0
7721	2	2	1	0	28	2292	0	1	0
7821	1	1	1	0	28	2292	0	1	0
7821	2	2	1	0	28	2292	0	1	0
7921	1	1	1	0	28	2292	0	1	0
7921	2	2	1	0	28	2292	0	1	0
8021	1	1	1	0	28	2292	0	1	0
8021	2	2	1	0	28	2292	0	1	0
8121	1	1	1	0	28	2292	0	1	0
8121	2	2	1	0	28	2292	0	1	0
8221	1	1	1	0	28	2292	0	1	0
8221	2	2	1	0	28	2292	0	1	0
8321	1	1	1	0	28	2292	0	1	0
8321	2	2	1	0	28	2292	0	1	0
8421	1	1	1	0	28	2292	0	1	0
8421	2	2	1	0	28	2292	0	1	0
8521	1	1	1	0	28	2292	0	1	0
8521	2	2	1	0	28	2292	0	1	0
8621	1	1	1	0	28	2292	0	1	0
8621	2	2	1	0	28	2292	0	1	0
8721	1	1	1	0	28	2292	0	1	0
8721	2	2	1	0	28	2292	0	1	0
8821	1	1	1	0	28	2292	0	1	0
8821	2	2	1	0	28	2292	0	1	0
8921	1	1	1	0	28	2292	0	1	0
8921	2	2	1	0	28	2292	0	1	0
9021	1	1	1	0	28	2292	0	1	0
9021	2	2	1	0	28	2292	0	1	0
9121	1	1	1	0	28	2292	0	1	0
9121	2	2	1	0	28	2292	0	1	0
9221	1	1	1	0	28	2292	0	1	0
9221	2	2	1	0	28	2292	0	1	0
9321	1	1	1	0	28	2292	0	1	0
9321	2	2	1	0	28	2292	0	1	0
9421	1	1	1	0	28	2292	0	1	0
9421	2	2	1	0	28	2292	0	1	0
9521	1	1	1	0	28	2292	0	1	0
9521	2	2	1	0	28	2292	0	1	0
9621	1	1	1	0	28	2292	0	1	0
9621	2	2	1	0	28	2292	0	1	0
9721	1	1	1	0	28	2292	0	1	0
9721	2	2	1	0	28	2292	0	1	0
9821	1	1	1	0	28	2292	0	1	0
9821	2	2	1	0	28	2292	0	1	0
9921	1	1	1	0	28	2292	0	1	0
9921	2	2	1	0	28	2292	0	1	0
