% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
3.201	1	1	1	1.64215e+06	0
3.201	2	2	1	1.64215e+06	0
3.241	1	1	1	1.64215e+06	0
3.241	2	2	1	1.64215e+06	0
3.281	1	1	1	1.64215e+06	0
3.281	2	2	1	1.64215e+06	0
3.321	1	1	1	1.64215e+06	0
3.321	2	2	1	1.64215e+06	0
3.361	1	1	1	1.64215e+06	0
3.361	2	2	1	1.64215e+06	0
3.401	1	1	1	1.64215e+06	0
3.401	2	2	1	1.64215e+06	0
3.441	1	1	1	1.64215e+06	0
3.441	2	2	1	1.64215e+06	0
3.481	1	1	1	1.64215e+06	0
3.481	2	2	1	1.64215e+06	0
3.521	1	1	1	1.64215e+06	0
3.521	2	2	1	1.64215e+06	0
3.561	1	1	1	1.64215e+06	0
3.561	2	2	1	1.64215e+06	0
3.601	1	1	1	1.64215e+06	0
3.601	2	2	1	1.64215e+06	0
3.641	1	1	1	1.64215e+06	0
3.641	2	2	1	1.64215e+06	0
3.681	1	1	1	1.64215e+06	0
3.681	2	2	1	1.64215e+06	0
3.721	1	1	1	1.64215e+06	0
3.721	2	2	1	1.64215e+06	0
3.761	1	1	1	1.64215e+06	0
3.761	2	2	1	1.64215e+06	0
3.801	1	1	1	1.64215e+06	0
3.801	2	2	1	1.64215e+06	0
3.841	1	1	1	1.64215e+06	0
3.841	2	2	1	1.64215e+06	0
3.881	1	1	1	1.64215e+06	0
3.881	2	2	1	1.64215e+06	0
3.921	1	1	1	1.64215e+06	0
3.921	2	2	1	1.64215e+06	0
3.961	1	1	1	1.64215e+06	0
3.961	2	2	1	1.64215e+06	0
4.001	1	1	1	1.64215e+06	0
4.001	2	2	1	1.64215e+06	0
4.041	1	1	1	1.64215e+06	0
4.041	2	2	1	1.64215e+06	0
4.081	1	1	1	1.64215e+06	0
4.081	2	2	1	1.64215e+06	0
4.121	1	1	1	1.64215e+06	0
4.121	2	2	1	1.64215e+06	0
4.161	1	1	1	1.64215e+06	0
4.161	2	2	1	1.64215e+06	0
4.201	1	1	1	1.64215e+06	0
4.201	2	2	1	1.64215e+06	0
4.241	1	1	1	1.64215e+06	0
4.241	2	2	1	1.64215e+06	0
4.281	1	1	1	1.64215e+06	0
4.281	2	2	1	1.64215e+06	0
4.321	1	1	1	1.64215e+06	0
4.321	2	2	1	1.64215e+06	0
4.361	1	1	1	1.64215e+06	0
4.361	2	2	1	1.64215e+06	0
4.401	1	1	1	1.64215e+06	0
4.401	2	2	1	1.64215e+06	0
4.441	1	1	1	1.64215e+06	0
4.441	2	2	1	1.64215e+06	0
4.481	1	1	1	1.64215e+06	0
4.481	2	2	1	1.64215e+06	0
4.521	1	1	1	1.64215e+06	0
4.521	2	2	1	1.64215e+06	0
4.561	1	1	1	1.64215e+06	0
4.561	2	2	1	1.64215e+06	0
4.601	1	1	1	1.64215e+06	0
4.601	2	2	1	1.64215e+06	0
4.641	1	1	1	1.64215e+06	0
4.641	2	2	1	1.64215e+06	0
4.681	1	1	1	1.64215e+06	0
4.681	2	2	1	1.64215e+06	0
4.721	1	1	1	1.64215e+06	0
4.721	2	2	1	1.64215e+06	0
4.761	1	1	1	1.64215e+06	0
4.761	2	2	1	1.64215e+06	0
4.801	1	1	1	1.64215e+06	0
4.801	2	2	1	1.64215e+06	0
4.841	1	1	1	1.64215e+06	0
4.841	2	2	1	1.64215e+06	0
4.881	1	1	1	1.64215e+06	0
4.881	2	2	1	1.64215e+06	0
4.921	1	1	1	1.64215e+06	0
4.921	2	2	1	1.64215e+06	0
4.961	1	1	1	1.64215e+06	0
4.961	2	2	1	1.64215e+06	0
5.001	1	1	1	1.64215e+06	0
5.001	2	2	1	1.64215e+06	0
5.041	1	1	1	1.64215e+06	0
5.041	2	2	1	1.64215e+06	0
5.081	1	1	1	1.64215e+06	0
5.081	2	2	1	1.64215e+06	0
5.121	1	1	1	1.64215e+06	0
5.121	2	2	1	1.64215e+06	0
5.161	1	1	1	1.64215e+06	0
5.161	2	2	1	1.64215e+06	0
5.201	1	1	1	1.64215e+06	0
5.201	2	2	1	1.64215e+06	0
5.241	1	1	1	1.64215e+06	0
5.241	2	2	1	1.64215e+06	0
5.281	1	1	1	1.64215e+06	0
5.281	2	2	1	1.64215e+06	0
5.321	1	1	1	1.64215e+06	0
5.321	2	2	1	1.64215e+06	0
5.361	1	1	1	1.64215e+06	0
5.361	2	2	1	1.64215e+06	0
5.401	1	1	1	1.64215e+06	0
5.401	2	2	1	1.64215e+06	0
5.441	1	1	1	1.64215e+06	0
5.441	2	2	1	1.64215e+06	0
5.481	1	1	1	1.64215e+06	0
5.481	2	2	1	1.64215e+06	0
5.521	1	1	1	1.64215e+06	0
5.521	2	2	1	1.64215e+06	0
5.561	1	1	1	1.64215e+06	0
5.561	2	2	1	1.64215e+06	0
5.601	1	1	1	1.64215e+06	0
5.601	2	2	1	1.64215e+06	0
5.641	1	1	1	1.64215e+06	0
5.641	2	2	1	1.64215e+06	0
5.681	1	1	1	1.64215e+06	0
5.681	2	2	1	1.64215e+06	0
5.721	1	1	1	1.64215e+06	0
5.721	2	2	1	1.64215e+06	0
5.761	1	1	1	1.64215e+06	0
5.761	2	2	1	1.64215e+06	0
5.801	1	1	1	1.64215e+06	0
5.801	2	2	1	1.64215e+06	0
5.841	1	1	1	1.64215e+06	0
5.841	2	2	1	1.64215e+06	0
5.881	1	1	1	1.64215e+06	0
5.881	2	2	1	1.64215e+06	0
5.921	1	1	1	1.64215e+06	0
5.921	2	2	1	1.64215e+06	0
5.961	1	1	1	1.64215e+06	0
5.961	2	2	1	1.64215e+06	0
6.001	1	1	1	1.64215e+06	0
6.001	2	2	1	1.64215e+06	0
6.041	1	1	1	1.64215e+06	0
6.041	2	2	1	1.64215e+06	0
6.081	1	1	1	1.64215e+06	0
6.081	2	2	1	1.64215e+06	0
6.121	1	1	1	1.64215e+06	0
6.121	2	2	1	1.64215e+06	0
6.161	1	1	1	1.64215e+06	0
6.161	2	2	1	1.64215e+06	0
6.201	1	1	1	1.64215e+06	0
6.201	2	2	1	1.64215e+06	0
6.241	1	1	1	1.64215e+06	0
6.241	2	2	1	1.64215e+06	0
6.281	1	1	1	1.64215e+06	0
6.281	2	2	1	1.64215e+06	0
6.321	1	1	1	1.64215e+06	0
6.321	2	2	1	1.64215e+06	0
6.361	1	1	1	1.64215e+06	0
6.361	2	2	1	1.64215e+06	0
6.401	1	1	1	1.64215e+06	0
6.401	2	2	1	1.64215e+06	0
6.441	1	1	1	1.64215e+06	0
6.441	2	2	1	1.64215e+06	0
6.481	1	1	1	1.64215e+06	0
6.481	2	2	1	1.64215e+06	0
6.521	1	1	1	1.64215e+06	0
6.521	2	2	1	1.64215e+06	0
6.561	1	1	1	1.64215e+06	0
6.561	2	2	1	1.64215e+06	0
6.601	1	1	1	1.64215e+06	0
6.601	2	2	1	1.64215e+06	0
6.641	1	1	1	1.64215e+06	0
6.641	2	2	1	1.64215e+06	0
6.681	1	1	1	1.64215e+06	0
6.681	2	2	1	1.64215e+06	0
6.721	1	1	1	1.64215e+06	0
6.721	2	2	1	1.64215e+06	0
6.761	1	1	1	1.64215e+06	0
6.761	2	2	1	1.64215e+06	0
6.801	1	1	1	1.64215e+06	0
6.801	2	2	1	1.64215e+06	0
6.841	1	1	1	1.64215e+06	0
6.841	2	2	1	1.64215e+06	0
6.881	1	1	1	1.64215e+06	0
6.881	2	2	1	1.64215e+06	0
6.921	1	1	1	1.64215e+06	0
6.921	2	2	1	1.64215e+06	0
6.961	1	1	1	1.64215e+06	0
6.961	2	2	1	1.64215e+06	0
7.001	1	1	1	1.64215e+06	0
7.001	2	2	1	1.64215e+06	0
7.041	1	1	1	1.64215e+06	0
7.041	2	2	1	1.64215e+06	0
7.081	1	1	1	1.64215e+06	0
7.081	2	2	1	1.64215e+06	0
7.121	1	1	1	1.64215e+06	0
7.121	2	2	1	1.64215e+06	0
7.161	1	1	1	1.64215e+06	0
7.161	2	2	1	1.64215e+06	0
7.201	1	1	1	1.64215e+06	0
7.201	2	2	1	1.64215e+06	0
7.241	1	1	1	1.64215e+06	0
7.241	2	2	1	1.64215e+06	0
7.281	1	1	1	1.64215e+06	0
7.281	2	2	1	1.64215e+06	0
7.321	1	1	1	1.64215e+06	0
7.321	2	2	1	1.64215e+06	0
7.361	1	1	1	1.64215e+06	0
7.361	2	2	1	1.64215e+06	0
7.401	1	1	1	1.64215e+06	0
7.401	2	2	1	1.64215e+06	0
7.441	1	1	1	1.64215e+06	0
7.441	2	2	1	1.64215e+06	0
7.481	1	1	1	1.64215e+06	0
7.481	2	2	1	1.64215e+06	0
7.521	1	1	1	1.64215e+06	0
7.521	2	2	1	1.64215e+06	0
7.561	1	1	1	1.64215e+06	0
7.561	2	2	1	1.64215e+06	0
7.601	1	1	1	1.64215e+06	0
7.601	2	2	1	1.64215e+06	0
7.641	1	1	1	1.64215e+06	0
7.641	2	2	1	1.64215e+06	0
7.681	1	1	1	1.64215e+06	0
7.681	2	2	1	1.64215e+06	0
7.721	1	1	1	1.64215e+06	0
7.721	2	2	1	1.64215e+06	0
7.761	1	1	1	1.64215e+06	0
7.761	2	2	1	1.64215e+06	0
7.801	1	1	1	1.64215e+06	0
7.801	2	2	1	1.64215e+06	0
7.841	1	1	1	1.64215e+06	0
7.841	2	2	1	1.64215e+06	0
7.881	1	1	1	1.64215e+06	0
7.881	2	2	1	1.64215e+06	0
7.921	1	1	1	1.64215e+06	0
7.921	2	2	1	1.64215e+06	0
7.961	1	1	1	1.64215e+06	0
7.961	2	2	1	1.64215e+06	0
8.001	1	1	1	1.64215e+06	0
8.001	2	2	1	1.64215e+06	0
8.041	1	1	1	1.64215e+06	0
8.041	2	2	1	1.64215e+06	0
8.081	1	1	1	1.64215e+06	0
8.081	2	2	1	1.64215e+06	0
8.121	1	1	1	1.64215e+06	0
8.121	2	2	1	1.64215e+06	0
8.161	1	1	1	1.64215e+06	0
8.161	2	2	1	1.64215e+06	0
8.201	1	1	1	1.64215e+06	0
8.201	2	2	1	1.64215e+06	0
8.241	1	1	1	1.64215e+06	0
8.241	2	2	1	1.64215e+06	0
8.281	1	1	1	1.64215e+06	0
8.281	2	2	1	1.64215e+06	0
8.321	1	1	1	1.64215e+06	0
8.321	2	2	1	1.64215e+06	0
8.361	1	1	1	1.64215e+06	0
8.361	2	2	1	1.64215e+06	0
8.401	1	1	1	1.64215e+06	0
8.401	2	2	1	1.64215e+06	0
8.441	1	1	1	1.64215e+06	0
8.441	2	2	1	1.64215e+06	0
8.481	1	1	1	1.64215e+06	0
8.481	2	2	1	1.64215e+06	0
8.521	1	1	1	1.64215e+06	0
8.521	2	2	1	1.64215e+06	0
8.561	1	1	1	1.64215e+06	0
8.561	2	2	1	1.64215e+06	0
8.601	1	1	1	1.64215e+06	0
8.601	2	2	1	1.64215e+06	0
8.641	1	1	1	1.64215e+06	0
8.641	2	2	1	1.64215e+06	0
8.681	1	1	1	1.64215e+06	0
8.681	2	2	1	1.64215e+06	0
8.721	1	1	1	1.64215e+06	0
8.721	2	2	1	1.64215e+06	0
8.761	1	1	1	1.64215e+06	0
8.761	2	2	1	1.64215e+06	0
8.801	1	1	1	1.64215e+06	0
8.801	2	2	1	1.64215e+06	0
8.841	1	1	1	1.64215e+06	0
8.841	2	2	1	1.64215e+06	0
8.881	1	1	1	1.64215e+06	0
8.881	2	2	1	1.64215e+06	0
8.921	1	1	1	1.64215e+06	0
8.921	2	2	1	1.64215e+06	0
8.961	1	1	1	1.64215e+06	0
8.961	2	2	1	1.64215e+06	0
9.001	1	1	1	1.64215e+06	0
9.001	2	2	1	1.64215e+06	0
9.041	1	1	1	1.64215e+06	0
9.041	2	2	1	1.64215e+06	0
9.081	1	1	1	1.64215e+06	0
9.081	2	2	1	1.64215e+06	0
9.121	1	1	1	1.64215e+06	0
9.121	2	2	1	1.64215e+06	0
9.161	1	1	1	1.64215e+06	0
9.161	2	2	1	1.64215e+06	0
9.201	1	1	1	1.64215e+06	0
9.201	2	2	1	1.64215e+06	0
9.241	1	1	1	1.64215e+06	0
9.241	2	2	1	1.64215e+06	0
9.281	1	1	1	1.64215e+06	0
9.281	2	2	1	1.64215e+06	0
9.321	1	1	1	1.64215e+06	0
9.321	2	2	1	1.64215e+06	0
9.361	1	1	1	1.64215e+06	0
9.361	2	2	1	1.64215e+06	0
9.401	1	1	1	1.64215e+06	0
9.401	2	2	1	1.64215e+06	0
9.441	1	1	1	1.64215e+06	0
9.441	2	2	1	1.64215e+06	0
9.481	1	1	1	1.64215e+06	0
9.481	2	2	1	1.64215e+06	0
9.521	1	1	1	1.64215e+06	0
9.521	2	2	1	1.64215e+06	0
9.561	1	1	1	1.64215e+06	0
9.561	2	2	1	1.64215e+06	0
9.601	1	1	1	1.64215e+06	0
9.601	2	2	1	1.64215e+06	0
9.641	1	1	1	1.64215e+06	0
9.641	2	2	1	1.64215e+06	0
9.681	1	1	1	1.64215e+06	0
9.681	2	2	1	1.64215e+06	0
9.721	1	1	1	1.64215e+06	0
9.721	2	2	1	1.64215e+06	0
9.761	1	1	1	1.64215e+06	0
9.761	2	2	1	1.64215e+06	0
9.801	1	1	1	1.64215e+06	0
9.801	2	2	1	1.64215e+06	0
9.841	1	1	1	1.64215e+06	0
9.841	2	2	1	1.64215e+06	0
9.881	1	1	1	1.64215e+06	0
9.881	2	2	1	1.64215e+06	0
9.921	1	1	1	1.64215e+06	0
9.921	2	2	1	1.64215e+06	0
9.961	1	1	1	1.64215e+06	0
9.961	2	2	1	1.64215e+06	0
